id,datetime,latitude,longitude,magnitude,location,location-broad
10189,14/07/2022 01:14,19.09833333,-68.623,20,Dominican Republic,Central America
10190,14/07/2022 01:15,19.1035,-65.99733333,18,Puerto Rico,Central America
10191,14/07/2022 01:20,38.724,-116.0966,16,Nevada,North America
10192,14/07/2022 01:24,44.288,-114.8331667,5,Idaho,North America
10193,14/07/2022 01:29,19.18066597,-155.5010071,8,Hawaii,North America
10194,14/07/2022 01:36,10.3022,94.1785,40,India,Asia
10195,14/07/2022 01:51,24.8116,121.9707,40,Taiwan,Asia
10196,14/07/2022 02:09,36.4763333,-120.8728333,7,California,North America
10197,14/07/2022 02:10,24.7764,121.9039,36,Taiwan,Asia
10198,14/07/2022 02:23,34.0515,-117.241,7,California,North America
10199,14/07/2022 02:33,-21.4698,-70.6021,38,Chile,South America
10200,14/07/2022 02:46,31.73022592,-104.5774674,32,New Mexico,North America
10201,14/07/2022 02:50,-20.0306,-177.6427,36,Tonga,Oceania
10202,14/07/2022 02:56,42.7894,141.2371,42,Japan,Asia
10203,14/07/2022 02:58,-0.012,124.3445,53,Indonesia,Asia
10204,14/07/2022 03:12,62.159,-151.7535,6,Alaska,North America
10205,14/07/2022 03:40,19.21966743,-155.3938293,6,Hawaii,North America
10206,14/07/2022 03:48,17.95183333,-66.88566667,9,Puerto Rico,Central America
10207,14/07/2022 04:06,63.5901,-147.4192,19,Alaska,North America
10208,14/07/2022 04:07,63.5162,-147.4125,19,Alaska,North America
10209,14/07/2022 04:41,19.29716682,-154.9838409,7,Hawaii,North America
10210,14/07/2022 04:46,18.682,-66.66966667,15,Puerto Rico,Central America
10211,14/07/2022 04:58,1.4274,127.1548,45,Indonesia,Asia
10212,14/07/2022 05:16,18.055,-67.06266667,11,Puerto Rico,Central America
10213,14/07/2022 05:57,19.21266667,-66.533,18,Puerto Rico,Central America
10214,14/07/2022 06:09,60.8653,-149.8746,32,Alaska,North America
10215,14/07/2022 06:12,56.5527,-148.5372,28,Alaska,North America
10216,14/07/2022 06:52,17.93433333,-66.76233333,9,Puerto Rico,Central America
10217,14/07/2022 07:09,2.9876,126.9714,40,Indonesia,Asia
10218,14/07/2022 07:57,33.8603333,-118.3096667,9,California,North America
10219,14/07/2022 08:30,63.7474,-145.774,32,Alaska,North America
10220,14/07/2022 08:33,55.6747,-155.1827,21,Alaska,North America
10221,14/07/2022 08:39,-9.8399,107.1253,32,Indonesia,Asia
10222,14/07/2022 08:45,17.99433333,-67.02116667,6,Puerto Rico,Central America
10223,14/07/2022 08:56,50.0533,179.7577,11,Alaska,North America
10224,14/07/2022 10:03,13.8976,120.7244,42,Philippines,Asia
10225,14/07/2022 11:17,-16.8407,-172.9924,47,Tonga,Oceania
10226,14/07/2022 11:50,19.23866653,-155.3950043,7,Hawaii,North America
10227,14/07/2022 12:02,59.6654,-153.2193,8,Alaska,North America
10228,14/07/2022 12:08,3.1243,127.2185,55,Indonesia,Asia
10229,14/07/2022 12:19,19.16683388,-155.4654999,6,Hawaii,North America
10230,14/07/2022 12:36,3.072,127.148,42,Indonesia,Asia
10231,14/07/2022 13:06,47.9433,-114.1005,9,Montana,North America
10232,14/07/2022 13:12,-5.5042,146.7458,42,Papua New Guinea,Oceania
10233,14/07/2022 13:12,2.9573,127.0417,40,Indonesia,Asia
10234,14/07/2022 13:35,19.18433333,-155.4633333,6,Hawaii,North America
10235,14/07/2022 13:36,61.6396,-149.6239,32,Alaska,North America
10236,14/07/2022 13:55,3.08,127.1646,47,Indonesia,Asia
10237,14/07/2022 13:59,-20.7612,-173.9098,53,Tonga,Oceania
10238,14/07/2022 14:06,51.70216667,-178.7171667,5,Alaska,North America
10239,14/07/2022 14:31,17.99816667,-66.76366667,10,Puerto Rico,Central America
